9.800000000000000000e+01,2.000000000000000000e+00
9.200000000000000000e+01,2.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,2.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,2.000000000000000000e+00
6.400000000000000000e+01,2.000000000000000000e+00
6.800000000000000000e+01,2.000000000000000000e+00
6.800000000000000000e+01,2.000000000000000000e+00
8.400000000000000000e+01,2.000000000000000000e+00
7.200000000000000000e+01,2.000000000000000000e+00
9.800000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,2.000000000000000000e+00
7.400000000000000000e+01,2.000000000000000000e+00
7.600000000000000000e+01,2.000000000000000000e+00
7.600000000000000000e+01,2.000000000000000000e+00
7.600000000000000000e+01,2.000000000000000000e+00
7.600000000000000000e+01,2.000000000000000000e+00
